spelling,ipa,syllables,meaning,actor_notes
neka,ˈne.ka,ne-ka,,
shapme,ˈʃap.me,shap-me,,
mushlu,ˈmuʃ.lu,mush-lu,,
konesa,ko.ˈne.sa,ko-ne-sa,,
tina,ˈti.na,ti-na,,
totnusmap,tot.ˈnus.map,tot-nus-map,,
teshi,ˈte.ʃi,te-shi,,
sesmituk,ses.ˈmi.tuk,ses-mi-tuk,,
lore,ˈlo.ɾe,lo-re,,
mashimu,ma.ˈʃi.mu,ma-shi-mu,,
lolenmu,lo.ˈlen.mu,lo-len-mu,,
shushmelap,ʃuʃ.ˈme.lap,shush-me-lap,,
kotosh,ˈko.toʃ,ko-tosh,,
nuptunsan,nup.ˈtun.san,nup-tun-san,,
lanuktir,la.ˈnuk.tiɾ,la-nuk-tir,,
seras,ˈse.ɾas,se-ras,,
timata,ti.ˈma.ta,ti-ma-ta,,
relunu,ɾe.ˈlu.nu,re-lu-nu,,
renosro,ɾe.ˈnos.ɾo,re-nos-ro,,
mapu,ˈma.pu,ma-pu,,
matpet,ˈmat.pet,mat-pet,,
tuno,ˈtu.no,tu-no,,
kullo,ˈkul.lo,kul-lo,,
tosho,ˈto.ʃo,to-sho,,
papsame,pap.ˈsa.me,pap-sa-me,,
shelelu,ʃe.ˈle.lu,she-le-lu,,
rame,ˈɾa.me,ra-me,,
lepepo,le.ˈpe.po,le-pe-po,,
norokne,no.ˈɾok.ne,no-rok-ne,,
raspu,ˈɾas.pu,ras-pu,,
reptettesh,ɾep.ˈtet.teʃ,rep-tet-tesh,,
muptor,ˈmup.toɾ,mup-tor,,
minono,mi.ˈno.no,mi-no-no,,
potarri,po.ˈtaɾ.ɾi,po-tar-ri,,
tene,ˈte.ne,te-ne,,
nurriten,nuɾ.ˈɾi.ten,nur-ri-ten,,
renu,ˈɾe.nu,re-nu,,
senlip,ˈsen.lip,sen-lip,,
shipse,ˈʃip.se,ship-se,,
lushupte,lu.ˈʃup.te,lu-shup-te,,
reka,ˈɾe.ka,re-ka,,
pimaro,pi.ˈma.ɾo,pi-ma-ro,,
kepe,ˈke.pe,ke-pe,,
mitole,mi.ˈto.le,mi-to-le,,
sima,ˈsi.ma,si-ma,,
sini,ˈsi.ni,si-ni,,
ripnenat,ɾip.ˈne.nat,rip-ne-nat,,
sorashmip,so.ˈɾaʃ.mip,so-rash-mip,,
rumishsu,ɾu.ˈmiʃ.su,ru-mish-su,,
tirshinu,tiɾ.ˈʃi.nu,tir-shi-nu,,
